hashtag,frequency
#114thCongress,43
#research,43
#Economy,43
#heroes,43
#regulation,43
#renew911health,43
#MakeCongressWorkAgain,43
#WestMI,43
#NFL,43
#BetterCare,43
#Appropriations,43
#BearDown,43
#CapitoConnect,43
#NV’s,43
#FarmersFeed,43
#ReplaceNow,43
#Right2Refuse,43
#PyeongChang2018,42
#RareDisease,42
#CutWaste,42
#VietnamWarVeteransDay,42
#PoliceWeek2018,42
#FarmBillFriday,42
#RSCBudget,42
#Hamas,42
#FourthOfJuly,42
#S2155,42
#Airmen,42
#lawenforcement,42
#ozone,42
#PPSellsBabyParts,42
#ChildhoodCancer,42
#Breaking,42
#students,42
#History,42
#KCMO,42
#21stCenturyCures,42
#ohio,42
#CCW,42
#regrelief,42
#OKC,42
#BoilerUp,42
#TeamWittman,42
#TheHunt,42
#kristiforcongress,42
#NE3,42
#NESA,42
#JumpstartAmerica,42
#CapitolChristmasTree,41
#Instagram,41
#ISS,41
#taxcode,41
#OvertimeRule,41
#SemperParatus,41
#NACSInStore,41
#SundayFutures,41
#A,41
#SOAR,41
#BillofRights,41
#MTPDaily,41
#4thAmendment,41
#TerrorThreatSnapshot,41
#NCSEN,41
#WorldAutismAwarenessDay,41
#reform,41
#WageHope,41
#WPCD,41
#Hezbollah,41
#nepa,41
#SAVEAct,41
#kustoffforcongress,41
#NationalChampionship,40
#NCLB,40
#HCR,40
#GiveThemHope,40
#PITFA,40
#rail,40
#JVTA,40
#Farm,40
#N,40
#USVI,40
#Comey,40
#SC,40
#Gordon,40
#BetterBudget,40
#timetobuild,40
#RepealandReplace,40
#MentalHealth,40
#SubEnvEcon,40
#SenateOpportunityCoalition,40
#HireMoreHeroes,40
#FlyFightWin,40
#AmericanDream,40
#EarnHistory,40
#Pakistan,40
#history,40
#FBF,40
#housing,40
#KeyWest,40
#Debates2016,40
#deficit,40
#Indy500,40
#DiazCanel,40
#GoPokes,40
#mil,40
#Binghamton,40
#TalkSmallYall,40
#WNC,40
#ClearfieldCounty,40
#NationalPuppyDay,39
#FISAMemo,39
#LoveSavesLives,39
#Congress4CS,39
#MFGday16,39
#SecretService,39
#DownSyndromeAwarenessMonth,39
#selfie,39
#governmentshutdown,39
#ComeyHearing,39
#inauguration,39
#243NavyBday,39
#5,39
#workforce,39
#MondayMotivation,39
#IL15,39
#SB50,39
